model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_grid_1_AutoML_3_20251110_162451_model_2,0.1280884034963518,0.0164066391102442,0.0543577137435878,0.0326591785281911,0.0164066391102442
DeepLearning_1_AutoML_3_20251110_162451,0.1315684661958626,0.0173102612971318,0.0691766159910551,0.0378301675439473,0.0173102612971318
XRT_1_AutoML_3_20251110_162451,0.1346664396792926,0.0181350499758965,0.0636005009299424,0.0303781108586353,0.0181350499758965
GBM_4_AutoML_3_20251110_162451,0.1435084563099523,0.0205946770324654,0.039251354705727,0.0345968499742731,0.0205946770324654
GBM_5_AutoML_3_20251110_162451,0.1461514006104241,0.0213602319003886,0.0552292432004119,0.0350989338709921,0.0213602319003886
GBM_3_AutoML_3_20251110_162451,0.1494147025454549,0.0223247533367467,0.0415903394190991,0.0356914435840275,0.0223247533367467
GBM_1_AutoML_3_20251110_162451,0.1693246357946668,0.0286708322869965,0.0874706175072177,0.043452597135251,0.0286708322869965
DRF_1_AutoML_3_20251110_162451,0.1724262168716039,0.0297308002646533,0.0726106008389602,0.0411335225002376,0.0297308002646533
GBM_2_AutoML_3_20251110_162451,0.1725094661497549,0.0297595159112734,0.0730200312128959,0.0413297532474348,0.0297595159112734
GBM_grid_1_AutoML_3_20251110_162451_model_1,0.2063588091977431,0.0425839581335105,0.1155214580938022,0.0534150346709831,0.0425839581335105
DeepLearning_grid_1_AutoML_3_20251110_162451_model_1,0.2494894446371888,0.0622449829853728,0.1468301856357878,0.0704950037537029,0.0622449829853728
GLM_1_AutoML_3_20251110_162451,0.3945276547523951,0.155652070364425,0.2392344232792405,0.1355833658725683,0.155652070364425
